	Top	Gene	FDR	2	3	4	5	6	7	8
1	1	Htr3a	0	-0.0289819404595792	-0.111531526272596	0.00569394288881503	-0.0569892357272119	-3.16369019368294	-0.14287140930503	-0.105505195629462
2	1	Prkar1b	0	-2.25133467045486	-2.67255417072403	-2.17504353479995	-0.369219443135194	-2.98723129775104	-1.62851398909681	-0.146503286764702
3	1	Mllt11	1.60954795982899e-70	-2.01522781828422	-2.56379167779902	-2.7632471613767	0.0385700999210252	-2.89748234827316	-1.38682245901101	0.327281679570586
4	1	Clu	1.14988269835729e-57	-0.422294222319143	-1.39092588204613	-0.416227862289747	-0.276039915850913	-1.72150562118827	-0.653264290155775	-5.57744027877774
5	1	Snap25	0	-3.26251783996942	-4.59888303279605	-4.07238875639829	-0.715904417962212	-4.39016032084534	-3.32843421961343	-0.237122779360475
6	1	Syt11	1.13466466892822e-116	1.25483392391577	1.52900809192295	1.96804801822853	3.6767199864144	1.42043468773459	0.932646998385532	2.06065213141999
7	2	Kcnip1	0	-0.0153789390173275	-0.0432314770537793	0.0100723905083564	-0.00439527717139242	-1.44703376281826	-0.153932838871382	-0.0392967023891657
8	2	Syt1	0	-3.66758416681253	-3.69102292542758	-3.24438659943339	-0.967134860297612	-4.30407893299325	-2.76630863065026	-0.483358958222747
9	2	Ndrg4	3.22787846676795e-205	-3.006560060985	-3.44075637855767	-3.18015543521785	-0.382828742111038	-4.01760374212996	-2.29824895633103	-0.349504454325551
10	2	Snhg11	0	-4.26949465824847	-3.73696554846027	-3.96394610386839	-0.89192179787621	-3.80180535258784	-3.43488927380337	-0.39925967633674
11	2	Cpe	0	-3.73878580674527	-2.7800654090121	-3.25290328643869	-0.861946746122159	-2.27874619092524	-1.67603534280808	-4.89944554694878
12	2	Aplp1	0	1.38386121154674	1.82958882169386	1.99077998925956	4.02031578045495	2.36857037203659	1.11481011192508	3.03562142650751
13	3	Cnr1	5.13267942479864e-40	-1.18347068990898	-0.621369672216057	-1.01733935981546	-0.180839217840917	-3.75683545285791	-0.785957517453127	-0.423572639839341
14	3	Syp	4.46647603030156e-112	-2.51501531264605	-2.53070222603012	-2.52465722178901	-0.168242183484989	-2.62017036300596	-1.44056938969749	-0.136329330555036
15	3	Psat1	0	3.57624124389202	3.54791229227129	3.70021855782282	3.59280732507849	3.7078118274036	1.42471681042038	1.67579924680563
16	3	Elovl7	0	3.19913663444013	3.2241576556457	3.29523267297048	2.79340653255495	3.28727339006698	1.27955066481214	3.17685461542644
17	4	Nrxn3	4.57781661995845e-72	-1.75796516235913	-1.82346915257373	-1.34901774188113	-0.491431004309735	-3.4716086347116	-1.66059080983588	-0.413875419096816
18	4	Celf4	0	-2.78275369389806	-2.93162207598655	-2.60726027229384	-0.556596110001821	-3.34241119688897	-2.05287898735263	-0.275026056323268
19	4	Stmn3	5.52862883589993e-190	-3.2396469858977	-4.11366794209436	-4.64804246221055	-0.140353025887281	-4.2381045615282	-2.68097860678394	-0.123422244177209
20	4	Stmn2	0	-2.81715032976016	-3.74271924417055	-3.93604604501458	-0.64205055657272	-3.64534610983135	-2.60606067598398	-0.131579197900343
21	4	Scd2	0	3.85073279634101	4.39404584528797	4.24515794537707	4.2185902256771	4.37953090025032	1.48351140494823	1.44576919242206
22	4	Mbp	0	5.77487087698656	6.03193200717061	6.17322944468978	5.50466168116801	6.34123201361266	1.53686055737116	5.95445838668504
23	5	Dlx6os1	0	-0.0233656116291735	-0.0556869736138172	-0.0127440177051307	-0.00867696367008776	-1.95089447719336	-0.18850166953351	-0.104591300005779
24	5	Uchl1	1.79228114859417e-97	-2.40030783159986	-2.822328537748	-2.76231742502629	-0.204503781264741	-2.59042486341982	-1.63614879568654	0.115229370586154
25	5	Cldn11	0	4.72761372321524	4.8721088933442	5.03146406752805	4.46091619076474	4.97720522745441	1.47151669218529	4.62234144492339
26	6	Dlx1	0	0.0138838568877814	-0.0288919123634634	0.0107842220128083	-0.0117507701338405	-1.4437290506328	-0.128987292542245	-0.0921164845765511
27	6	Tubb2a	0	-3.16002827253814	-3.43060886968867	-4.1044745654999	-0.965202025090499	-3.82924645696338	-2.23374937770797	-1.82095992674052
28	6	Scn2a1	4.84039414508574e-28	-3.20824851261103	-3.08068238165704	-3.04096017170217	-0.688133981519246	-2.7559056624513	-2.28744261839755	-0.250830169080037
29	6	Hmgcs1	0	3.31590271436153	3.14150387967578	3.00568406854844	4.20456157462267	3.46104190477246	1.30050970972854	2.09235962372201
30	6	Tspan2	0	4.80228223703937	4.99038891230594	5.08028821351021	4.41102467586187	4.50038436174513	1.46565769517651	4.79568811622725
31	7	Syngr3	0	-1.3483790093168	-1.79426930603578	-1.6466616680815	-0.109398799428861	-2.54741804328221	-1.08982043475026	0.0129434138377585
32	7	Chn1	0	-3.81431839307902	-4.09113450656121	-4.62217527689177	-0.619666533170198	-2.18429038833149	-2.73103738503004	-0.610673129774225
33	7	Taldo1	1.27047004565493e-318	3.76984211522401	3.47653057246594	2.75060752162058	3.49651876301124	3.91732084629491	1.23603984213014	3.67453565010077
34	7	Cnp	0	5.67601544578481	5.78003013963409	6.02110358161523	5.40778253570096	5.90443860927187	1.37906568317122	4.72266257740674
35	8	Kcnc1	3.69958902977517e-59	-0.261765085879948	-0.686321459931812	-0.168841048712593	-0.175193286695145	-2.12344274993805	-0.54252732369603	-0.156915736564757
36	8	Vsnl1	0	-2.51813264436736	-3.33959421231602	-2.87445595590339	-0.366216799459133	-3.04867585979639	-1.86117025754184	-0.171901987363821
37	8	Atp1b1	0	-4.65674612834998	-3.90873279348975	-4.12993942962026	-1.02249245597781	-4.59611407264112	-2.830578429573	-1.23677872126768
38	8	Plp1	0	8.78196155965819	8.22982192837242	9.36043787659705	6.68822315015127	9.25214695189971	1.43161932310707	7.41968470095952
39	9	Slc32a1	9.50186147936697e-06	-0.0341998078462422	-0.0545171061870905	-0.00912445306222869	-0.0041452286467456	-1.95997294109399	-0.152008985290499	-0.0216784173508898
40	9	Fabp3	1.90606181256562e-73	-1.06855061895561	-2.25531201010549	-2.0636834566089	-0.106100768045123	-2.23602371237199	-1.23364000744137	-0.0332113641956854
41	9	Pcsk2	3.68365477861881e-263	-2.17960442325614	-3.85024408019171	-2.92861135944347	-0.255116645201138	-1.82291675087701	-2.32862671567414	0.0317414189126437
42	9	Mobp	0	5.36246712513758	5.48309796522388	5.61551867337245	5.2205720826154	5.5822821612865	1.40730440543123	5.41236659215113
43	10	Gjc3	0	2.77979891769315	2.83017598150052	2.86402129535749	2.67414386895952	2.86755257798904	1.13731733342663	2.70559932479209
44	10	2810468N07Rik	0	3.24457964472267	3.30704685174674	3.25312300719069	3.40371701263244	3.28785794380586	1.18320470487193	3.28965782777058
45	11	Tuba4a	1.92602022221759e-97	-2.03616044578279	-2.99303757685987	-2.83752236131197	-0.196534775634403	-2.24008902091928	-1.72561197380914	-1.14996461066605
46	11	Rtn1	0	-4.17802524975166	-3.6383550465684	-3.6051901316364	-0.560727306356562	-3.82370086501567	-2.56662111771632	-0.38854323658291
47	11	Sept4	0	4.47088711596495	4.44376677140355	4.61765397260378	3.56344018895331	4.43543442365571	1.30672859408949	4.30177547658251
48	12	Cplx1	2.83789588355439e-30	-0.99908609867358	-1.6186720035996	-0.737689052199545	-0.236516162347675	-3.23871824011524	-0.909116072927103	-0.101940830217957
49	12	Atp2b2	8.70435667175591e-139	-1.99226061217626	-2.97078501211292	-1.64162475649981	-0.597274280471341	-1.98360457763995	-1.99038471299974	-0.560515675116868
50	12	Gpm6a	1.31551398499478e-294	-3.63632644583338	-3.58366222651176	-4.16935883849686	-0.820899136197554	-3.26417613379339	-2.55706685417002	-4.03604575762408
51	12	Gsn	0	4.36834695435656	4.56903688433668	4.61787213850195	4.01199139126726	4.64319806955958	1.34130005379049	4.45313241932258
52	13	Meg3	0	-4.46923596648173	-3.47465628855299	-3.72532951824056	-1.27875115237032	-3.40889165557018	-3.40471515976992	-0.777923960475971
53	13	Syn2	2.01309024662008e-94	-2.95649039378198	-2.26205662204375	-2.94711224632411	-0.289666836925473	-3.12368601472687	-1.58874113296111	-0.383029920516454
54	13	Ywhah	1.8739799312806e-145	-2.99877844471036	-3.33579252061264	-3.2970097552081	-0.599116014376043	-2.44589460565782	-2.1218875726926	-0.0813452484855848
55	13	Pdlim2	0	3.87009294510817	3.90769609221286	3.99183240738822	3.73538904760989	3.92586586434407	1.09462923173251	3.75061462578645
